sim_time; tb3_1?world_linear_velocity/x
128,725;-0,0385922
128,726;-0,0385976
128,727;-0,0386242
128,728;-0,0386671
128,729;-0,0387205
128,73;-0,0387792
128,731;-0,0388387
128,732;-0,0388955
128,733;-0,0389475
128,734;-0,0389933
128,735;-0,0390327
128,736;-0,0390655
128,737;-0,0390918
128,738;-0,0391119
128,739;-0,0391262
128,74;-0,0391351
128,741;-0,0391392
128,742;-0,0391388
128,743;-0,0391349
128,744;-0,0391281
128,745;-0,039119
128,746;-0,0391083
128,747;-0,0390965
128,748;-0,0390843
128,749;-0,0390718
128,75;-0,0390596
128,751;-0,0390477
128,752;-0,0390364
128,753;-0,0390261
128,754;-0,0390157
128,755;-0,0390059
128,756;-0,0389951
128,757;-0,0389851
128,758;-0,0389736
128,759;-0,0389627
128,76;-0,0389505
128,761;-0,0389395
128,762;-0,0389268
128,763;-0,0389154
128,764;-0,0389023
128,765;-0,0388904
128,766;-0,0388774
128,767;-0,0388648
128,768;-0,0388513
128,769;-0,0388377
128,77;-0,0388237
128,771;-0,0388092
128,772;-0,0387943
128,773;-0,0387791
128,774;-0,0387636
128,775;-0,0387478
128,776;-0,0387317
128,777;-0,0387153
128,778;-0,0386986
128,779;-0,0386815
128,78;-0,038664
128,781;-0,0386459
128,782;-0,0386272
128,783;-0,038608
128,784;-0,038588
128,785;-0,0385673
128,786;-0,038546
128,787;-0,038524
128,788;-0,0385014
128,789;-0,0384796
128,79;-0,0384599
128,791;-0,0384406
128,792;-0,0384217
128,793;-0,0383987
128,794;-0,0383738
128,795;-0,0383469
128,796;-0,0383193
128,797;-0,0382926
128,798;-0,0382675
128,799;-0,0382443
128,8;-0,0382238
128,801;-0,0382065
128,802;-0,0381924
128,803;-0,038183
128,804;-0,0381763
128,805;-0,0381735
128,806;-0,0381753
128,807;-0,0381827
128,808;-0,0381961
128,809;-0,0382155
128,81;-0,0382406
128,811;-0,0382708
128,812;-0,0383035
128,813;-0,0379186
128,814;-0,0375793
128,815;-0,03725
128,816;-0,0369135
128,817;-0,0365656
128,818;-0,0362107
128,819;-0,0358549
128,82;-0,0355022
128,821;-0,0351549
128,822;-0,0348149
128,823;-0,0344834
128,824;-0,034161
128,825;-0,0338475
128,826;-0,0335419
128,827;-0,0332427
128,828;-0,0329484
128,829;-0,0326579
128,83;-0,0323704
128,831;-0,0320858
128,832;-0,0318044
128,833;-0,0315269
128,834;-0,0312537
128,835;-0,0309857
128,836;-0,030723
128,837;-0,030466
128,838;-0,0302144
128,839;-0,0299681
128,84;-0,0297269
128,841;-0,0294906
128,842;-0,0292594
128,843;-0,0290336
128,844;-0,0288146
128,845;-0,0286052
128,846;-0,0283822
128,847;-0,0281528
128,848;-0,027922
128,849;-0,0276974
128,85;-0,0274839
128,851;-0,0272826
128,852;-0,0270919
128,853;-0,0269094
128,854;-0,0267323
128,855;-0,0265584
128,856;-0,0263859
128,857;-0,0262141
128,858;-0,0260427
128,859;-0,0258723
128,86;-0,025704
128,861;-0,0255388
128,862;-0,0253778
128,863;-0,0252216
128,864;-0,0250705
128,865;-0,0249241
128,866;-0,024782
128,867;-0,0246438
128,868;-0,0245091
128,869;-0,0243774
128,87;-0,0242488
128,871;-0,024123
128,872;-0,0240004
128,873;-0,0238811
128,874;-0,0237654
128,875;-0,0236534
128,876;-0,0235453
128,877;-0,0234411
128,878;-0,0233408
128,879;-0,0232361
128,88;-0,023136
128,881;-0,0230401
128,882;-0,0229485
128,883;-0,022861
128,884;-0,0227774
128,885;-0,0226973
128,886;-0,0226206
128,887;-0,0225468
128,888;-0,0224755
128,889;-0,0224068
128,89;-0,0223404
128,891;-0,0222764
128,892;-0,022215
128,893;-0,0221562
128,894;-0,0221002
128,895;-0,022047
128,896;-0,0219966
128,897;-0,0219488
128,898;-0,0219037
128,899;-0,0218611
128,9;-0,021821
128,901;-0,0217833
128,902;-0,021748
128,903;-0,0217152
128,904;-0,0216849
128,905;-0,0216572
128,906;-0,021632
128,907;-0,0216094
128,908;-0,0215894
128,909;-0,021572
128,91;-0,0215572
128,911;-0,021545
128,912;-0,0215353
128,913;-0,021714
128,914;-0,021918
128,915;-0,0221567
128,916;-0,0224255
128,917;-0,0227116
128,918;-0,0230044
128,919;-0,0232969
128,92;-0,0235848
128,921;-0,0238652
